const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-2872918.1513355384,0.0,1.0,0.0,151285.0,0.0,46.40814461117359,0.0,0.0,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-5596048.151335537,0.0,1.0,0.0,151285.0,0.0,1.9285262408144612E7,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-8319178.151335537,0.0,1.0,0.0,151285.0,0.0,3.857047840814461E7,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-1.0739738151335537E7,0.0,1.0,0.0,151285.0,0.0,7.714091040814461E7,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-1.3462868151335537E7,0.0,1.0,0.0,151285.0,0.0,9.642612640814461E7,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-1.6185998151335537E7,0.0,1.0,0.0,151285.0,0.0,1.1571134240814461E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-1.8606558151335537E7,0.0,1.0,0.0,151285.0,0.0,1.542623344081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-4.059546415133554E7,0.0,1.0,0.0,1.9417061E7,0.0,1.927938864081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-2.3750248151335537E7,0.0,1.0,0.0,151285.0,0.0,2.120596624081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-2.6473378151335537E7,0.0,1.0,0.0,151285.0,0.0,2.313254384081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-4.846228415133554E7,0.0,1.0,0.0,1.9417061E7,0.0,2.698569904081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-3.1617068151335537E7,0.0,1.0,0.0,151285.0,0.0,2.891422064081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-3.403762815133554E7,0.0,1.0,0.0,151285.0,0.0,3.277126384081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-3.676075815133554E7,0.0,1.0,0.0,151285.0,0.0,3.469978544081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-3.948388815133554E7,0.0,1.0,0.0,151285.0,0.0,3.662830704081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-4.190444815133554E7,0.0,1.0,0.0,151285.0,0.0,4.048535024081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-6.389335415133554E7,0.0,1.0,0.0,1.9417061E7,0.0,4.434044944081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-4.704813815133554E7,0.0,1.0,0.0,151285.0,0.0,4.626702704081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-4.977126815133554E7,0.0,1.0,0.0,151285.0,0.0,4.819360464081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-7.176017415133554E7,0.0,1.0,0.0,1.9417061E7,0.0,5.204675984081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-5.491495815133554E7,0.0,1.0,0.0,151285.0,0.0,5.397333744081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-5.733551815133554E7,0.0,1.0,0.0,151285.0,0.0,5.782843664081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-6.005864815133554E7,0.0,1.0,0.0,151285.0,0.0,5.975695824081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-6.278177815133554E7,0.0,1.0,0.0,151285.0,0.0,6.168547984081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-6.520233815133554E7,0.0,1.0,0.0,151285.0,0.0,6.554252304081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-6.792546815133554E7,0.0,1.0,0.0,151285.0,0.0,6.747104464081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-7.064859815133554E7,0.0,1.0,0.0,151285.0,0.0,6.939956624081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-7.306915815133554E7,0.0,1.0,0.0,151285.0,0.0,7.325466544081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-9.505806415133554E7,0.0,1.0,0.0,1.9417061E7,0.0,7.710782064081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-7.821284815133554E7,0.0,1.0,0.0,151285.0,0.0,7.903439824081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-8.093597815133554E7,0.0,1.0,0.0,151285.0,0.0,8.096097584081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-1.0292488415133554E8,0.0,1.0,0.0,1.9417061E7,0.0,8.481413104081446E8,0.0,1.9568346E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-8.607966815133554E7,0.0,1.0,0.0,151285.0,0.0,8.674265264081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-8.850022815133554E7,0.0,1.0,0.0,151285.0,0.0,9.059969584081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-9.122335815133554E7,0.0,1.0,0.0,151285.0,0.0,9.252821744081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-9.394648815133554E7,0.0,1.0,0.0,151285.0,0.0,9.445673904081446E8,0.0,1.9587786E7,0.0
4.0,1.2252785842256153,12.783243719977847,1.0,4.0,183633.50289361953,160451.79219062388,2.0,-9.636704815133554E7,0.0,1.0,0.0,151285.0,0.0,9.831378224081446E8,0.0,1.9587786E7,0.0
