,Person.var_capitalMu,Person.var_capitalSigma,Person.var_happinessMu,Person.var_happinessSigma,Person.var_salaryMu,Person.var_salarySigma,Person.var_total_value_destroyedMu,Person.var_total_value_destroyedSigma
Person.var_happinessSigma,0.18242480976111633,0.1197977753276456,0.04458414101363205,0.8172618294399802,-0.11033328204275374,0.17802038819430632,0.2856315165316423,0.11321132739753176
Person.var_salaryMu,0.08520128306972104,0.03191127925988991,-0.06698172999962476,-0.11925724059717317,0.8116640444477581,0.17909386665495208,0.3228067341574086,0.11048012798824663
Person.var_salarySigma,0.05327423174813362,0.22112363045838335,-0.03796828451059565,-0.05307881297534186,0.21336942452551277,0.7164640213379212,0.08376961814201109,-0.06471415741059221
Person.var_total_value_destroyedMu,0.011807507754772007,0.19977887410366144,0.1775732035794786,0.0987054264238712,0.08152928885063643,-0.04800663670645219,0.6210951653978795,0.40693077199515104
Person.var_total_value_destroyedSigma,-0.08480658732309422,0.25161859882039633,-0.10715154555910203,0.10962263814286333,-0.017343541289944902,-0.035246030618550535,0.2383683439911352,0.5435416466853358
Farm.var_capitalMu,-0.16383987507660627,-0.10931557312766438,-0.019775161163044543,-0.06439326231894371,-0.08583328229297449,-0.10621157502720267,-0.13173001399476525,-0.03802010001005683
Farm.var_capitalSigma,0.010043190007614625,0.13019725590969256,0.10707115631149128,0.12206352781742581,-0.10197785707007724,-0.0032922035925600055,-0.08723262904124927,0.08549822255587067
Farm.var_employeesMu,0.1404246177801154,0.07080736015862311,-0.04789814638987088,0.09788969611526654,0.07948933148960245,0.01121422334000466,0.06377962836888927,-0.13281076803586528
Farm.var_employeesSigma,-0.10052709090396322,-0.04234122908254959,-0.039168172225106344,0.048120744843321794,-0.17154071281844058,0.07378455680483668,0.0692712721765312,0.14888254317491106
Farm.var_goodwillMu,0.02626974399107459,-0.009775679476550638,-0.020737133666229094,-0.13693891037957495,-0.17245291439264987,-0.02946323135828891,0.03197709178764373,0.10187106889045854
Farm.var_goodwillSigma,0.059683458086690004,0.01673061315064079,0.0705367949072429,0.05561631148433373,0.06633514272846652,-0.03860700097256409,-0.009447854696591401,-0.1906526750762301
Farm.var_total_value_destroyedMu,0.061659450247437034,0.09917840067706575,0.05817856254531762,0.14129846839058993,0.014749907992868554,0.05821474220801553,0.030524069273321502,0.11776613302706358
Farm.var_total_value_destroyedSigma,0.06093117675969102,0.11680962302602074,-0.027924718355621814,-0.014802185475843442,-0.03965338596482796,0.10637660223919168,0.016050822341379122,-0.002956573548275697
Farm.var_valueProducedMu,-0.15619539947827624,0.15520136135123624,-0.02837535384002677,-0.07073870139857384,0.049723951410781696,0.12595709261084945,0.11061234775462457,-0.013203313538505094
Farm.var_valueProducedSigma,0.016704472596863917,-0.06816798105924621,-0.14157201731716784,0.011023622000292466,0.15508257168475295,-0.0219004036716719,-0.09047090327020484,0.10063496029050907
Mill.var_capitalMu,-0.07181909449499314,0.023850403525044656,-0.03220159638160259,0.01716234507598461,0.05917521502427221,0.08386020596253992,0.04157268220583297,0.21698986234704817
Mill.var_capitalSigma,0.17113395486350766,-0.08611176136003522,-0.00435362807868216,0.06157458043645864,0.09167644803580174,0.03466646516142934,-0.1125826703555803,0.03374912242215394
Mill.var_employeesMu,0.04140739222460145,-0.04268868809249688,-0.05421516175823706,-0.0668061157211973,-0.2561142569573467,0.01196657741023524,-0.05781508235563258,-0.08353474408021773
Mill.var_employeesSigma,-0.12453411869147413,0.015635626029491007,0.03368243381636868,-0.05418456259875747,0.11079711672978602,-0.11162852938529864,0.025492988941279923,0.18377872389630895
Mill.var_goodwillMu,-0.0816729135554365,-0.09693768134825413,0.014051960114214387,0.07262136606139347,-0.06743273008541638,0.030219652755193744,-0.1418724282163904,-0.0174958144850753
Mill.var_goodwillSigma,0.08950083924504286,0.10626093023207088,0.003685217434846855,-0.1024888958776871,0.0867638148075045,0.03595165154232799,0.14079642559633543,-0.07457620919805251
Mill.var_total_value_destroyedMu,0.08146653799397495,-0.02121933716364023,0.10887754539742378,0.03835521359234483,0.0399056012204375,-0.1257231326486293,-0.07331772173674268,0.000364808189645238
Mill.var_total_value_destroyedSigma,-0.052844252916175616,0.10773077249422283,-0.14079854962201382,-0.056207742878786465,0.010883228571223522,0.1847335032418295,0.1366115751682089,0.21956566370470101
Mill.var_valueProducedMu,-0.12016725891150318,-0.2499150421130777,0.05498910495494353,0.06125437701528227,-0.07226961973464999,-0.016731137708314966,-0.17407737386096547,-0.10914168097118668
Mill.var_valueProducedSigma,0.07032410964520915,0.08149588840419231,-0.019763752932656004,-0.11833713962538749,0.10163572624252556,0.10259530812736349,0.06288082602083764,0.1253910792777312
Bakery.var_capitalMu,-0.1268240611887456,0.00936776362599238,0.03280407821656427,0.04613689824043136,-0.04443490794093828,-0.05360641442987201,0.06406381149719087,0.08511024223220061
Bakery.var_capitalSigma,0.05147898195709183,-0.0123056619365275,0.053631734164522674,0.11109174410272551,-0.0285565634810117,-0.10422675696846719,-0.019374822061451354,0.03092953024954148
Bakery.var_employeesMu,-0.008089372102082774,-0.05118934764863564,0.030543760261625988,0.023353749208163268,-0.027970800337811012,-0.06015854550629748,-0.01790819146297214,0.013738931823824631
Bakery.var_employeesSigma,-0.03657699838005843,-0.07117448125025663,-0.14318397415686118,-0.0998990696939544,0.06745325649100971,0.008833274094035412,-0.0444513580843531,-0.09269761750652174
Bakery.var_goodwillMu,-0.058077750827212275,-0.08766250822686901,0.01870667568407904,0.0933545058719427,-0.02999492572719517,-0.04034406597947906,-0.008717973434457123,0.08287157951049501
