gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu
-1127934.53351049,107401185.928571,1914.76178117522,35012139.6638913,17157803
-1127934.53351032,24134341,1990.35687319976,36611770.0198235,14054732
-1127934.53351017,67925144.1428571,2087.08693454945,38458853.8079591,17157803
-1127934.53351031,107401643.214286,2170.70656645129,39907906.4958122,17852995.1428571
-1127934.5335102,19573510.6428571,2232.18509405865,41137004.9675637,17852995.1428571
-1127934.53351029,66465678.4285714,2305.88448056172,42445860.3842303,17852995.1428571
-1127934.53351,107583619.142857,2370.65135172737,43889848.8612279,17157803
-1127934.53350996,24316774.2142857,2456.01331491755,45459314.2672812,14054732
-1127934.53351047,68107577.3571429,2558.28325356786,47390540.7331407,17157803
-1127934.53351046,107584076.428571,2614.31392841448,48629217.1017444,17852995.1428571
-1127934.53351036,22857308.5,2713.31392841448,50422649.031123,17852995.1428571
-1127934.53351042,63546747,2812.14828424271,52152230.3489196,17852995.1428571
-1127934.53351008,107766052.357143,2850.21576890528,52937129.2797105,17852995.1428571
-1127934.53351014,24499207.4285714,2897.49797749424,54259883.6073135,14054732
-1127934.53351049,68290010.5714286,3007.8047259605,56243817.3666355,17157803
-1127934.53351008,104665145,3091.93356031632,57715628.9683304,17157803
-1127934.53351006,23039741.7142857,3174.51024743289,59347994.0348895,17852995.1428571
-1127934.53351039,63729180.2142857,3275.01331491755,61156699.0151154,17852995.1428571
-1127934.53351046,107948485.571429,3313.61454191142,61897710.7203885,17852995.1428571
-1127934.53351019,24681640.6428571,3384.40595295436,63356044.5847953,14054732
-1127934.53351029,68472443.7857143,3434.65748669669,64871004.182374,17157803
-1127934.53350984,104847578.214286,3563.00717994823,66622867.8983546,17157803
-1127934.53351017,23222174.9285714,3660.83540080712,68343811.9124789,17852995.1428571
-1127934.53351007,67012978.0714286,3759.36914313841,70344017.991575,17852995.1428571
-1127934.53350998,104215143.071429,3866.12987933473,71730188.2721776,17852995.1428571
-1127934.53351033,24864073.8571429,3869.44889773964,72313475.6213301,14054732
-979060.087868945,97077106.382353,-6835.67362293433,11362.4878096694,425635.941176471
-979060.087868939,122587559.5,-9372.52389031401,156761.862809669,1319156.55882353
-979060.087868932,15451970.3823529,-9273.16560154396,768570.42898614,7093745.20588235
-979060.087868929,35801826.1470588,-9867.53993309476,1047846.22572984,11538500.2941176
-979060.08786894,63722035.5294118,-7539.86078870973,2792186.57749817,10644979.6764706
-979060.087869005,82547960.8529412,-8487.63084218567,3314121.7425642,11538500.2941176
-979060.087868977,110529539.088235,-7498.95169780064,4813745.52089791,11538500.2941176
-979060.087868941,130453758.911765,-6963.82335555466,5569372.05582438,11538500.2941176
-979060.087868924,21081072.8823529,-7816.73779405733,7599364.06869203,7093745.20588235
-979060.087868962,43668025.5588235,-7974.35276731936,5796550.08854251,11538500.2941176
-979060.087869011,71120350.2647059,-9029.83939833541,8017417.87602162,11538500.2941176
-979060.087868919,95284551.2941177,-9593.87683149049,10353055.317875,10644979.6764706
-979060.087868822,118292120.911765,-8324.29394378995,10234504.9018291,7093745.20588235
-979060.087868925,3134875.26470588,-9063.17629673113,12944773.2806668,11538500.2941176
-979060.087868954,31184369.2058823,-9999.76987961881,10593878.9525902,7093745.20588235
-979060.087868831,51959860.9117647,-7542.86613630331,12803228.4118906,11538500.2941176
-979060.087868978,79412185.6176471,-7701.40624325519,11956315.0070136,8875767.44117647
-979060.087868891,103576386.647059,-6278.0586496723,14606567.1317172,10644979.6764706
-979060.087868989,126158320.323529,-6597.29929138353,15636425.9064021,7093745.20588235
-979060.087868859,10897457.0882353,-6606.48110956535,15587234.5757298,11538500.2941176
-979060.087868851,40795361.1176471,-7823.41159084877,17393606.6010443,7093745.20588235
-979060.087868912,64696451.3529412,-7859.62549459209,18787545.535565,10644979.6764706
-979060.087868841,85199534.0882353,-6901.22977266696,19318468.46329,7093745.20588235
-979060.08786904,108779853.205882,-7432.02656411081,23255129.1706715,10644979.6764706
-979060.087868924,134450155.676471,-7307.01052133005,23258085.454042,7093745.20588235
-979060.087869053,19189292.4411765,-7753.99447854931,22063940.868963,11538500.2941176
-979060.087869008,48557942.9411765,-8089.95169780064,24184754.7866805,7093745.20588235
-979060.08786907,72562650.7647059,-6172.56132346909,26439098.9250723,10644979.6764706
-979060.087869044,93917005.3823529,-7048.24046785412,27972769.0996269,7093745.20588235
-979060.087868842,119734421.411765,-7079.51319512685,27953212.3248936,10644979.6764706
-979060.087869229,8024792.64705882,-4746.20838229262,29816184.2719483,7093745.20588235
-979060.087869104,31500246.9411765,-5557.24046785412,32510725.9340048,7982246.82352941
-979060.087868873,51979387.2647059,-6476.9944785493,31548203.3523391,11538500.2941176
-979060.087869415,80325232.5882353,-6243.74314165091,32770731.1800366,10644979.6764706
-979060.087868945,102208840.735294,-6892.87683149048,34094988.1031903,7093745.20588235
-979060.087869143,128026256.764706,-7145.63084218567,33679276.0448556,10644979.6764706
