const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.841321764532743E8,1.0,1.3162428E7,1.532522439989908E9,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.139586364532743E8,1.0,1672336.5,1.577224119989908E9,2.18600135E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.888520124532743E8,1.0,1672336.5,1.655137388489908E9,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-2.977711399532743E8,1.0,1672336.5,1.699908158489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.514610374532743E8,1.0,1672336.5,1.744678928489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.133796114532743E8,1.0,1672336.5,1.834220468489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.360186129532743E8,1.0,1.3162428E7,1.845710559989908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.658450739532743E8,1.0,1672336.5,1.890412239989908E9,2.18600135E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.407384484532743E8,1.0,1672336.5,1.968325508489908E9,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.498580614532743E8,1.0,1672336.5,2.013027188489908E9,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-4.035479579532743E8,1.0,1672336.5,2.057797958489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.654665314532743E8,1.0,1672336.5,2.147339498489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.881055329532743E8,1.0,1.3162428E7,2.158829589989908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-4.179319939532743E8,1.0,1672336.5,2.203531269989908E9,2.18600135E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-3.928253684532743E8,1.0,1672336.5,2.281444538489908E9,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-4.019449799532743E8,1.0,1672336.5,2.326146218489908E9,4.35815105E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-4.556348764532743E8,1.0,1672336.5,2.370916988489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-4.175534509532743E8,1.0,1672336.5,2.460458528489908E9,4.7000552E7
18.0,3.0120478917041815,1.2252785842256153,2.0,16.0,545579.8756536472,183633.50289361953,4.0,-4.264725779532743E8,1.0,1672336.5,2.505229298489908E9,4.7000552E7
15.0,17.06687569147947,2.8242634320801097,2.0,11.0,691904.1864937728,904327.4532507448,12.0,11027.25755677173,0.0,0.0,400.3505822887274,0.0
15.0,17.06687569147947,2.8242634320801097,2.0,11.0,691904.1864937728,904327.4532507448,12.0,-1.3754225742443228E7,1.0,5071409.0,400.3505822887274,0.0
15.0,17.06687569147947,2.8242634320801097,2.0,11.0,691904.1864937728,904327.4532507448,12.0,-3.583889124244323E7,1.0,9768386.25,7595325.600582289,0.0
15.0,17.06687569147947,2.8242634320801097,2.0,11.0,691904.1864937728,904327.4532507448,12.0,-1.2218080824244323E8,1.0,4.574977525E7,4.537574385058229E7,1.130358525E7
