gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
-979060.0878688912,1.0357638664705883E8,-6278.058649672302,1.460656713171723E7,1.0644979676470589E7,0.0
-979060.087868989,1.2615832032352942E8,-6597.299291383528,1.5636425906402098E7,7093745.205882353,0.0
-979060.0878688593,1.0897457088235294E7,-6606.48110956535,1.5587234575729834E7,1.1538500294117646E7,0.0
-979060.0878688514,4.079536111764706E7,-7823.411590848773,1.7393606601044286E7,7093745.205882353,0.0
-979060.0878689124,6.4696451352941185E7,-7859.625494592086,1.878754553556501E7,1.0644979676470589E7,0.0
-979060.0878688414,8.519953408823527E7,-6901.229772666955,1.9318468463289976E7,7093745.205882353,0.0
-979060.0878690397,1.0877985320588237E8,-7432.026564110804,2.3255129170671485E7,1.0644979676470589E7,0.0
-979060.0878689239,1.3445015567647058E8,-7307.010521330053,2.325808545404201E7,7093745.205882353,0.0
-979060.0878690529,1.9189292441176474E7,-7753.994478549307,2.206394086896305E7,1.1538500294117646E7,0.0
-979060.0878690075,4.855794294117647E7,-8089.951697800641,2.4184754786680467E7,7093745.205882353,0.0
-979060.0878690699,7.256265076470588E7,-6172.5613234690945,2.6439098925072305E7,1.0644979676470589E7,0.0
-979060.0878690445,9.391700538235293E7,-7048.240467854118,2.79727690996269E7,7093745.205882353,0.0
-979060.0878688422,1.1973442141176473E8,-7079.5131951268495,2.7953212324893553E7,1.0644979676470589E7,0.0
-979060.0878692284,8024792.647058824,-4746.20838229262,2.9816184271948326E7,7093745.205882353,0.0
-979060.0878691039,3.150024694117647E7,-5557.240467854119,3.251072593400477E7,7982246.823529411,0.0
-979060.0878688731,5.197938726470588E7,-6476.994478549303,3.154820335233914E7,1.1538500294117646E7,0.0
-979060.087869415,8.032523258823529E7,-6243.74314165091,3.2770731180036563E7,1.0644979676470589E7,0.0
-979060.0878689453,1.0220884073529412E8,-6892.876831490483,3.409498810319026E7,7093745.205882353,0.0
-979060.0878691435,1.2802625676470588E8,-7145.630842185668,3.367927604485557E7,1.0644979676470589E7,0.0
-979060.0878689686,1.589099205882353E7,-7334.144211169625,3.635444642957195E7,7093745.205882353,0.0
-979060.0878691011,3.936644635294117E7,-7825.983783362135,3.908875103064258E7,1.0644979676470589E7,0.0
-979060.0878690217,6.027122261764706E7,-6523.54528068834,3.780061947805701E7,1.1538500294117646E7,0.0
-979060.0878691365,8.696385294117647E7,-6086.523890314012,3.791159403027155E7,7982246.823529411,0.0
-979060.0878690305,1.1043930723529412E8,-5800.074692453048,4.150630235058541E7,7093745.205882353,0.0
-979060.0878687042,1.3499893555882353E8,-6369.582713843421,4.129182851601463E7,1.1538500294117646E7,0.0
-979060.0878685517,1.9738072323529415E7,-6620.753836838073,4.493153176172774E7,1.1538500294117646E7,0.0
-979060.0878693478,4.808391764705882E7,-6387.743141650911,4.3708709772959955E7,1.0644979676470589E7,0.0
-979060.0878692423,6.856305797058824E7,-7080.1228207952945,4.367610335622615E7,1.1538500294117646E7,0.0
-979060.0878690865,9.44044164117647E7,-6195.791269993155,4.401064310351346E7,1.0644979676470589E7,0.0
-979060.0878692721,1.1606840973529413E8,-7001.614799404919,4.8420695357018195E7,7093745.205882353,0.0
-979060.0878689291,7150798.382352941,-6985.4757619717675,4.51559925676283E7,8875767.44117647,0.0
-979060.0878692027,2.802990767647059E7,-6681.475761971769,4.743588922520486E7,1.1538500294117646E7,0.0
2269.993234058683,0.0,36.43514216908664,103.72780859997712,0.0,1.0
-1340011.8859605717,3.8825386463888876E7,-3949.931270044654,51485.816288494454,77208.72222222222,0.0
-1340011.8859605757,1.2941917630555546E7,-3578.7480639377827,1392312.588228611,4.146054222222219E7,0.0
-1340011.8859605778,3.1274072749090943E7,-1140.5953921820583,5172862.053342639,4.6871678519444406E7,0.0
-1340011.8859605673,4.7013148082424246E7,983.5954475125981,1.1011661956925135E7,4.900432219353531E7,0.0
-1340011.8859605738,1.4255528193535337E7,4054.3969742301556,1.986670985088735E7,4.900432219353531E7,0.0
-1340011.8859605803,3.0860835193535388E7,5760.076363543132,2.6047969588832453E7,4.900432219353531E7,0.0
-1340011.8859605796,4.65999105268687E7,8265.48857728359,3.4591530156825855E7,4.900432219353531E7,0.0
-1340011.8859605817,1.5495240860202005E7,9728.95422613856,4.270343195785156E7,4.900432219353531E7,0.0
-1340011.8859605717,3.0447014380404074E7,11771.335905527862,5.186837815680045E7,4.9003738935959555E7,0.0
-1340011.8859605687,4.618608971373738E7,14264.572546749247,5.674072124506132E7,4.9003738935959555E7,0.0
