const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_employeesMu,var_goodwillMu,var_total_value_destroyedMu,var_valueProducedMu
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-6.62393569725E9,29.25,7.26218895E7,2.4029229553708486E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-6.863576041E9,29.25,2197205.25,2.4905347137041826E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-7.1047145475E9,29.25,8.49655595E7,2.5752739553708497E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-7.34435489125E9,29.25,1.4540875249999998E7,2.6628857137041837E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-7.583995037E9,29.25,9.71368785E7,2.739007405370851E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-7.82363538075E9,29.25,2.671219425E7,2.826619163704185E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-8.06477388725E9,29.25,1.094805485E8,2.911358405370852E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-8.304414231E9,29.25,3.905586424999999E7,2.998970163704186E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-8.54405437675E9,29.25,1.216518675E8,3.075091855370853E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-8.7836947205E9,29.25,5.122718324999999E7,3.162703613704187E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-9.024833227E9,29.25,1.339955375E8,3.2474428553708542E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-9.26447357075E9,29.25,6.357085324999999E7,3.335054613704188E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-9.5041137165E9,29.25,1.4616685649999997E8,3.411176305370854E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-9.74212961475E9,29.25,7.26218895E7,3.523204455370852E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-9.9817699585E9,29.25,2197205.25,3.6108162137041844E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.0222908465E10,29.25,8.49655595E7,3.69555545537085E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.046254880875E10,29.25,1.4540875249999998E7,3.783167213704182E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.07021889545E10,29.25,9.71368785E7,3.859288905370848E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.094182929825E10,29.25,2.671219425E7,3.94690066370418E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.118296780475E10,29.25,1.094805485E8,4.031639905370846E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.14226081485E10,29.25,3.905586424999999E7,4.119251663704178E7,4747053.25
17.0,3.002914401791479,6.276719841736298,4.0,8.0,146722.37301406782,378801.027131233,13.0,-1.166224829425E10,29.25,1.216518675E8,4.1953733553708434E7,4747053.25
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,19559.852617028646,0.0,0.0,403.6553305708816,0.0
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-3.740973576473829E8,39.0,3.53712065E8,403.6553305708816,0.0
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-9.60575813897383E8,39.0,7.5112385E7,2.1709956155330572E7,2.2385385E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-1.547054270147383E9,39.0,2.2461465125E8,3.2564732405330572E7,2.2385385E7
8.0,5.623641359058884,5.720752121571744,4.0,6.0,687055.3709897298,688369.3955063155,15.0,-2.133532726397383E9,39.0,3.56606672E8,3.545933940533057E7,2.2385385E7
