,Mill.const_consumed,Mill.const_itersMu,Mill.const_itersSigma,Mill.const_number,Mill.const_produced,Mill.const_salaryMu,Mill.const_salarySigma,Mill.const_time,Mill.var_capitalMu,Mill.var_employeesMu,Mill.var_goodwillMu,Mill.var_total_value_destroyedMu,Mill.var_valueProducedMu
78,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,26789988000.0,317.36017,3453721000.0,-1857087000.0,576851260.0
79,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,30256437000.0,328.6038,3594136800.0,-1956748200.0,600533100.0
80,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,33614092000.0,339.7444,3732088000.0,-2053621100.0,625420500.0
81,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,36840250000.0,350.85168,3873721300.0,-2152075300.0,652084900.0
82,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,39990050000.0,362.07333,4018219000.0,-2252648700.0,679736800.0
83,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,43058356000.0,373.39954,4164718600.0,-2354888200.0,708139800.0
84,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,46104750000.0,384.89526,4314842000.0,-2459559700.0,737547400.0
85,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,49158955000.0,396.62527,4468882400.0,-2566905000.0,767933300.0
86,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,52248396000.0,408.62274,4627116000.0,-2677206000.0,799356100.0
87,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,55141458000.0,420.71814,4787839000.0,-2791185000.0,831468500.0
88,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,58002563000.0,432.97046,4952355000.0,-2908303000.0,864714940.0
89,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,60892350000.0,445.42126,5121389000.0,-3028626400.0,899384640.0
90,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,63805850000.0,458.08508,5295545300.0,-3152319500.0,935626800.0
91,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,66794193000.0,470.9713,5474526700.0,-3279724000.0,973682050.0
92,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,69905250000.0,484.1622,5658742000.0,-3411432000.0,1013669400.0
93,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,73083994000.0,497.74487,5849453000.0,-3547363800.0,1054910340.0
94,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,76303860000.0,511.78497,6046791700.0,-3687265000.0,1096715900.0
95,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,79550410000.0,526.2579,6251617300.0,-3831329500.0,1139699500.0
96,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,82766480000.0,541.1863,6465544700.0,-3981288400.0,1184570800.0
97,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,86048260000.0,556.701,6687939600.0,-4137264600.0,1231279700.0
98,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,89375050000.0,572.8902,6920088600.0,-4299387400.0,1279670800.0
99,10.0,9.0,1.0,1.0,10.0,2500000.0,150.0,1.0,92677630000.0,589.827,7163357700.0,-4467706400.0,1329562900.0
