,Farm.const_itersMu,Farm.const_itersSigma,Farm.const_number,Farm.const_produced,Farm.const_required,Farm.const_salaryMu,Farm.const_salarySigma,Farm.const_time,Farm.var_capitalMu,Farm.var_employeesMu,Farm.var_goodwillMu,Farm.var_total_value_destroyedMu,Farm.var_valueProducedMu
64,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,43876188.0,1.1222355,1129190.0,606.19775,4845348.0
65,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,45850940.0,1.1016371,807104.4,622.01685,4397529.5
66,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,47464308.0,1.0867534,606700.4,634.4159,4200621.5
67,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,49223572.0,1.0847867,440500.0,646.2842,4102149.0
68,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,51261740.0,1.0972743,315751.5,659.9205,4087129.0
69,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,53305396.0,1.1140758,215926.5,676.74744,4085789.2
70,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,55325196.0,1.1304684,118642.625,697.7352,4061861.0
71,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,57386988.0,1.1446235,2950.5,726.5871,4008433.5
72,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,59100652.0,1.1504617,-127117.75,761.0194,3979110.8
73,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,60817716.0,1.1536968,-265704.75,798.24023,3954737.5
74,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,62583772.0,1.1554997,-407858.75,836.8977,3931821.5
75,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,64430772.0,1.1561286,-553542.25,876.35144,3910155.0
76,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,66385660.0,1.1559987,-706664.5,916.49866,3894941.0
77,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,67942370.0,1.1541312,-925596.75,961.8601,3858925.5
78,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,68974080.0,1.1505522,-1214985.0,1012.2559,3806754.5
79,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,69833180.0,1.1454922,-1527163.5,1067.5305,3718993.5
80,10.0,1.0,1.0,10.0,1.0,2800000.0,200.0,4.0,70836690.0,1.1396551,-1857365.2,1121.7463,3626032.5
