,Refinery.const_consumed,Refinery.const_itersMu,Refinery.const_itersSigma,Refinery.const_number,Refinery.const_produced,Refinery.const_salaryMu,Refinery.const_salarySigma,Refinery.const_time,Refinery.var_capitalMu,Refinery.var_employeesMu,Refinery.var_goodwillMu,Refinery.var_total_value_destroyedMu,Refinery.var_valueProducedMu
68,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1194162000.0,1.5886848,6064362.5,641101.6,1750730.0
69,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1279297700.0,1.5612218,5810858.0,671511.6,1769528.8
70,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1362352300.0,1.511642,5559650.5,701803.75,1779654.5
71,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1457508900.0,1.4558108,5239794.0,734881.5,1802654.5
72,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1550019200.0,1.35269,4920054.0,780240.3,1830978.5
73,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1643918300.0,1.2356137,4594081.5,829977.06,1858818.2
74,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1738321400.0,1.1116445,4281423.0,880513.0,1882936.5
75,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1834575100.0,0.9781037,3971622.0,931061.2,1904241.2
76,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,1937447700.0,0.8381774,3681926.5,973275.0,1933373.8
77,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2044337200.0,0.6906814,3378783.8,1016132.3,1964597.5
78,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2161515000.0,0.54399455,3072023.0,1061350.1,2000983.2
79,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2283919400.0,0.45090282,2877200.5,1108966.1,2046460.0
80,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2407519000.0,0.36492634,2724809.5,1161187.5,2107472.0
81,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2532711000.0,0.28296244,2598061.0,1216035.5,2174796.0
82,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2662185700.0,0.19365966,2463440.0,1273801.4,2247287.2
83,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2786176500.0,0.1150713,2225510.2,1334855.4,2339048.2
84,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,2906372900.0,0.020378351,1940905.5,1400481.4,2442122.5
85,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3042385200.0,-0.04240215,1512135.2,1469866.6,2575193.5
86,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3181403100.0,-0.10764623,1067443.5,1543571.1,2715239.8
87,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3326037800.0,-0.17121124,596472.0,1618067.5,2858779.8
88,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3478310400.0,-0.23613739,76924.75,1692921.9,3003993.5
89,10.0,10.0,1.0,1.0,9.0,2800000.0,200.0,2.0,3638986500.0,-0.30906188,-517593.5,1771287.6,3152788.2
