,Person.const_buyBeef,Person.const_buyBread,Person.const_buyFlour,Person.const_buyFuel,Person.const_buyLand,Person.const_buyMu,Person.const_buyOil,Person.const_buySigma,Person.const_buyWheat,Person.const_consumeBeef,Person.const_consumeBread,Person.const_consumeFlour,Person.const_consumeFuel,Person.const_consumeMu,Person.const_consumeOil,Person.const_consumeSigma,Person.const_consumeWheat,Person.const_enjoyBeefMu,Person.const_enjoyBeefSigma,Person.const_enjoyBreadMu,Person.const_enjoyBreadSigma,Person.const_enjoyFlourMu,Person.const_enjoyFlourSigma,Person.const_enjoyFuelMu,Person.const_enjoyFuelSigma,Person.const_enjoyOilMu,Person.const_enjoyOilSigma,Person.const_enjoyWheatMu,Person.const_enjoyWheatSigma,Person.const_femaleBonusSalMu,Person.const_femaleBonusSalSigma,Person.const_femaleEduMu,Person.const_femaleEduSigma,Person.const_genderMu,Person.const_genderSigma,Person.const_maleBonusSalMu,Person.const_maleBonusSalSigma,Person.const_maleEduMu,Person.const_maleEduSigma,Person.const_number,Person.var_capitalMu,Person.var_happinessMu,Person.var_salaryMu,Person.var_total_value_destroyedMu
23,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,733493200.0,129184.68,1689971.0,216636930.0
24,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,644215360.0,125910.55,1640424.0,206362580.0
25,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,562442100.0,123410.04,1609291.1,198023440.0
26,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,492123330.0,122120.94,1601773.0,191718220.0
27,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,430392450.0,121312.36,1608333.2,186856180.0
28,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,375184400.0,120009.945,1632256.2,181988770.0
29,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,324682200.0,117692.55,1661310.8,174886400.0
30,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,272075040.0,114489.37,1686738.0,166275490.0
31,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,223187310.0,110646.836,1708647.8,155996590.0
32,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.9999999999999996,0.5,0.5,0.5,0.5,0.5,1.0,0.5,2.0,0.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,7.0,5.0,1.0,0.5,0.09999999999999998,100.0,10.0,6.0,1.0,100.0,180093000.0,106236.54,1727152.8,144247650.0
