const_price,const_units
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
9797790.491953183,822.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
1736746.398698426,166.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
6593113.357830412,929.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5466291.910699237,936.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
5998219.025681332,4.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
2441344.598331233,945.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
3916694.037986782,336.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
961724.0939985216,560.0
