const_consumed,const_itersMu,const_itersSigma,const_number,const_produced,const_salaryMu,const_salarySigma,const_time,var_capitalMu,var_capitalSigma,var_employeesMu,var_employeesSigma,var_goodwillMu,var_goodwillSigma,var_total_value_destroyedMu,var_total_value_destroyedSigma,var_valueProducedMu,var_valueProducedSigma
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.0972260558959262E11,1.0596233934542303E11,204.5,172.9862711315554,1.24106229775E9,1.1998806628539088E9,4.905799237138133E8,8.497091560482639E8,2.54405235E7,4.406427927315E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.1283666393234262E11,1.0886397381352794E11,204.5,172.9862711315554,1.8735132275E8,1.2971586225225577E8,5.012447024638133E8,8.68181094694745E8,2.54405235E7,4.406427927315E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.1597413083934262E11,1.1179557653002408E11,204.5,172.9862711315554,4.760739675E8,4.5407894770486665E8,5.225742599638133E8,9.051249719877067E8,2.54405235E7,4.406427927315E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.1910091728509262E11,1.1471357967469011E11,204.5,172.9862711315554,7.8512386E8,7.495907536264678E8,5.332390387138133E8,9.235969106341876E8,2.54405235E7,4.406427927315E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.2221499131034262E11,1.1761538056091531E11,204.5,172.9862711315554,1.0739550305E9,1.0401546467957422E9,5.439038174638133E8,9.420688492806685E8,2.54405235E7,4.406427927315E7
15.0,14.246894874780887,12.904983320538037,4.0,11.0,290856.1315747267,843123.341842638,9.0,-1.2535244253484262E11,1.2054710247873166E11,204.5,172.9862711315554,4.1573613E7,4.227174222771714E7,5.652333749638133E8,9.790127265736303E8,2.54405235E7,4.406427927315E7
13.0,11.459716124558481,1.8458172512702675,2.0,4.0,365846.75002595305,480238.800401424,15.0,-1.8149036203276553E9,1.8137503762416859E9,374.5,373.5,1.8099914104375E9,1.8093409718125E9,927449.4108638181,414349.66828304407,0.0,0.0
13.0,11.459716124558481,1.8458172512702675,2.0,4.0,365846.75002595305,480238.800401424,15.0,-4.799541825827656E9,4.798729889741686E9,374.5,373.5,3.057056625E8,3.053965305E8,5406741.098363818,4893641.355783044,3.0074685625E7,2.9046419E7
13.0,11.459716124558481,1.8458172512702675,2.0,4.0,365846.75002595305,480238.800401424,15.0,-7.791168460827656E9,7.789669564741686E9,374.5,373.5,1.0602131575E9,1.0597322855E9,7774648.598363818,7261548.855783043,3.0074685625E7,2.9046419E7
13.0,11.459716124558481,1.8458172512702675,2.0,4.0,365846.75002595305,480238.800401424,15.0,-1.0779507415327656E10,1.0777321559241686E10,374.5,373.5,1.8114318875E9,1.8112944955E9,1.0399079410863819E7,9885979.668283045,3.0074685625E7,2.9046419E7
