gl_capitalMu,gl_goodwillMu,gl_happinessMu,gl_total_value_destroyedMu,gl_valueProducedMu,unemploymentRate
-259302.04162779544,1.2644470267647056E8,-1578.3447777921338,30012.326233997777,4469129.051470589,0.0
-259302.0416278295,2.1516389115441176E8,-1435.2002154579138,350419.5545526145,4468709.161764706,0.0
-259302.04162780914,3.7972938176470585E7,-1594.9641411873583,544229.8236337306,4469129.051470589,0.0
-259302.0416278179,1.2553778408823527E8,-1391.257244635633,584269.8976042235,4469129.051470589,0.0
-259302.04162782303,2.1425697256617647E8,-1298.509234025554,763861.399914535,4468709.161764706,0.0
-259302.04162785798,3.70660195882353E7,-1441.493318906192,839500.6252306828,4469129.051470589,0.0
-259302.04162785038,1.2655806749999999E8,-1640.347430312025,1035156.3507292232,4469129.051470589,0.0
-259302.0416277314,2.152772559779412E8,-1531.6471650600351,1218215.5107165878,4468709.161764706,0.0
-259302.0416278402,3.8086303E7,-1487.4177220892154,1315492.7467989887,4469129.051470589,0.0
-259302.04162778927,1.2565114891176468E8,-1358.3978281900104,1617303.1470165087,4469129.051470589,0.0
-259302.0416278706,2.143703373897059E8,-1741.8262101528753,1621982.4695648132,4468709.161764706,0.0
-259302.04162775702,3.71793844117647E7,-1432.240003256323,1879345.499862979,4469129.051470589,0.0
-259302.04162774404,1.2667143232352939E8,-1227.6856265984975,1642118.0388658065,4469129.051470589,0.0
-259302.0416276722,2.1539062080147058E8,-1182.9588361475717,2124608.118062349,4468709.161764706,0.0
-259302.04162787524,3.819966782352941E7,-1465.686952858446,2158566.1997686215,4469129.051470589,0.0
-259302.0416277954,1.257645137352941E8,-1618.5145390653395,2520502.510260456,4469129.051470589,0.0
-259302.0416276183,2.144837022132353E8,-1368.9163958292663,2611364.791897349,4468709.161764706,0.0
-259302.04162786214,3.729274923529412E7,-1539.7028679778075,2736195.0978774866,4469129.051470589,0.0
-259302.04162765612,1.267847971470588E8,-1370.0649369433252,2832946.247313581,4469129.051470589,0.0
-259302.04162799282,2.15503985625E8,-1409.8567141316544,3156952.849695664,4468709.161764706,0.0
-259302.0416279445,3.638583064705882E7,-1246.6166610812568,3268752.115514637,4469129.051470589,0.0
-259302.0416278687,1.2587787855882351E8,-1582.6193136011518,3477882.374728859,4469129.051470589,0.0
-259302.0416281058,2.145970670367647E8,-1370.5357592244916,3617631.0896437815,4468709.161764706,0.0
-259302.04162816497,3.7406114058823526E7,-1420.0476955640154,3722460.1534407977,4469129.051470589,0.0
-259302.04162811142,1.2689816197058822E8,-1146.6896053783375,3888995.604721603,4469129.051470589,0.0
-259302.0416277306,2.1561735044852942E8,-1246.175016518922,3843782.6742857117,4468709.161764706,0.0
-259302.04162764704,3.649919547058824E7,-1207.823557632981,4288856.74034092,4469129.051470589,0.0
-259302.041627815,1.2599124338235292E8,-1623.2320456966393,4383643.518037633,4469129.051470589,0.0
-259302.04162788787,2.1471043186029413E8,-1333.537085484439,4694054.7310417695,4468709.161764706,0.0
-259302.04162779506,3.751947888235294E7,-1389.852735351814,4713927.412053526,4469129.051470589,0.0
-259302.0416278445,1.2701152679411763E8,-1321.253265855792,4687831.555597078,4469129.051470589,0.0
-259302.04162806197,2.157307152720588E8,-1273.8792605507522,4831750.798868805,4468709.161764706,0.0
-259302.04162755085,3.6612560294117644E7,-1013.4084382695863,5203444.693242997,4469129.051470589,0.0
-259302.04162793688,1.2610460820588233E8,-1147.4217008690541,5544911.474614589,4469129.051470589,0.0
-259302.0416275654,2.1482379668382353E8,-1541.2386769963762,5637464.397577191,4468709.161764706,0.0
-259302.04162780807,3.763284370588235E7,-1375.8407990122905,5775010.493076812,4469129.051470589,0.0
-259302.04162785463,1.2712489161764704E8,-1477.094114662158,6015878.320427848,4469129.051470589,0.0
-259302.04162746278,2.1391687809558824E8,-1155.4455735481015,6116250.005736675,4468709.161764706,0.0
-272798.1224625733,1.5949074435714287E8,-1153.415506248757,22959.031113866396,715141.28125,0.0
-272798.12246258755,1.7321716259375E8,-1466.2835414393708,87061.3308337546,1600735.0446428573,0.0
-272798.1224625426,1.8769039126785713E8,-1551.5196118206059,306526.55544058944,4602778.169642857,0.0
-272798.1224626163,1.9900151682589284E8,-1418.5650663660588,678718.6762168048,6678574.625,0.0
-272798.1224625734,2.1252360898214284E8,-1246.2292892399598,956188.8739558464,5444579.735057773,0.0
-272798.12246260565,2.2808113111160713E8,-1152.9067085947993,1125557.5308735385,5956520.912053572,0.0
-272798.1224626496,2.3964157340625E8,-1207.5738640200193,1500615.31720201,6678574.625,0.0
-272798.1224625609,4358990.857142857,-1162.3231308821873,1877186.2648820125,6372085.504464285,0.0
-272798.1224624756,1.7165941732142854E7,-963.1237173924527,2094446.2257218687,5751068.855593488,0.0
-272798.12246265414,3.0924029125E7,-1119.4697584481703,2420699.711629158,6737204.947767856,0.0
-272798.122462619,4.474973070089285E7,-932.2600810288168,2783383.864883035,6372085.504464285,0.0
-272798.12246246263,5.755668157589285E7,-836.4037760434785,2908739.356837366,5751068.855593488,0.0
-272798.12246263877,7.036363245089287E7,-1158.667705662247,3282642.666400469,6737204.947767856,0.0
-272798.1224624505,8.454148906249999E7,-1039.573864020018,3682386.7370231887,6737204.947767856,0.0
-272798.1224624256,9.608766386160713E7,-807.3480575684052,4005004.867743672,5650031.791517857,0.0
-272798.12246217194,1.0998493833035712E8,-842.6266499437717,4270560.192107401,5956520.912053572,0.0
-272798.1224626987,1.2564737018749999E8,-781.7190253103406,4536762.402206723,6737204.947767856,0.0
-272798.1224626737,1.3773917978125E8,-626.936034107995,4717916.023435902,6678574.625,0.0
-272798.12246240163,1.4928535458035713E8,-540.9492305889324,5188945.184677004,5650031.791517857,0.0
-272798.1224625993,1.6088125108035713E8,-437.1061220845336,5462626.886266346,5956520.912053572,0.0
-272798.122462858,1.7261214585714284E8,-470.49761768570727,5850434.417181212,6678574.625,0.0
-272798.1224625325,1.8779448567410713E8,-616.6310487707506,6067649.477298629,5650031.791517857,0.0
-272798.1224623977,2.0169176014285713E8,-423.8040692986101,6315530.263579772,5956520.912053572,0.0
-272798.12246288336,2.1449871101785713E8,-493.77181123409423,6655870.50445916,5956520.912053572,0.0
